[273.36] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[274.42] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[275.49] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[276.59] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[277.65] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[278.74] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[279.80] node 0: n_msg = 168; bytes = 1344; sys_bytes = 0
[280.89] node 0: n_msg = 121632; bytes = 747264; sys_bytes = 43935
[282.11] node 0: n_msg = 51240; bytes = 290304; sys_bytes = 20328
[283.19] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[284.26] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[285.31] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[286.42] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[287.47] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[288.54] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[289.59] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[290.66] node 0: n_msg = 116256; bytes = 704256; sys_bytes = 43323
[291.73] node 0: n_msg = 56616; bytes = 323904; sys_bytes = 21759
[292.81] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[293.91] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[294.98] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[296.08] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[297.16] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[298.24] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[299.31] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[300.51] node 0: n_msg = 4032; bytes = 32256; sys_bytes = 1893
[301.55] node 0: n_msg = 172032; bytes = 1021440; sys_bytes = 62423
[302.61] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[303.69] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[304.79] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[305.83] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[306.98] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[307.98] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[309.09] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[310.17] node 0: n_msg = 4032; bytes = 32256; sys_bytes = 1312
[311.28] node 0: n_msg = 170352; bytes = 1008000; sys_bytes = 62951
[312.38] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[313.45] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[314.54] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[315.64] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[316.64] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[317.80] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[318.81] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[320.00] node 0: n_msg = 3864; bytes = 30912; sys_bytes = 716
[321.05] node 0: n_msg = 234779; bytes = 249262128; sys_bytes = 68935499
[322.15] node 0: n_msg = 166138; bytes = 391933440; sys_bytes = 117920048
[323.28] node 0: n_msg = 169669; bytes = 393731136; sys_bytes = 94654327
[324.31] node 0: n_msg = 239832; bytes = 159780672; sys_bytes = 40436478
[325.31] node 0: n_msg = 16128; bytes = 96768; sys_bytes = 5798
[326.45] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[327.47] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[328.59] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[329.66] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[330.71] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[331.79] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[332.87] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[333.91] node 0: n_msg = 161280; bytes = 967680; sys_bytes = 58594
[334.99] node 0: n_msg = 16128; bytes = 96768; sys_bytes = 5676
[336.10] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[337.18] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[338.26] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[339.35] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[340.38] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[341.46] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[342.55] node 0: n_msg = 168; bytes = 1344; sys_bytes = 0
[343.64] node 0: n_msg = 133728; bytes = 811776; sys_bytes = 49062
[344.70] node 0: n_msg = 39312; bytes = 217728; sys_bytes = 15915
[345.87] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[346.89] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[347.98] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[349.04] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[350.11] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[351.20] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[352.34] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[353.42] node 0: n_msg = 4032; bytes = 32256; sys_bytes = 1130
[354.52] node 0: n_msg = 170016; bytes = 1005312; sys_bytes = 63179
[355.60] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[356.64] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[357.76] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[358.78] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[359.90] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[360.98] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[362.05] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[363.18] node 0: n_msg = 4032; bytes = 32256; sys_bytes = 800
[364.34] node 0: n_msg = 173376; bytes = 1032192; sys_bytes = 63519
